gender,state,party,term,year,name,constituency
Male,Bihar,Congress,1,1952,Shri Prabhat Chandra Bose,Manbhum North
Male,Bihar,Congress,1,1952,Shri Brajeshwar Prasad,Gaya-East-SC
Male,Uttar Pradesh,Congress,1,1952,Shri Feroze Gandhi,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC
Male,Assam,Congress,1,1952,Shri Sitanath Brohomo-Chaudhury,Goalpara-Garo Hills-ST
Male,Madras,Kisan Mazdoor Praja Party,1,1952,Shri K.Achuthan Damodara Menon,Kozhikode
Male,Madras,Communist Party,1,1952,Shri Sanaka Buchhikotaiah,Masuliipatam
Male,Assam,Congress,1,1952,Shri Surendra Nath Buragohain,Sibasagar-North Lakhimpur
Male,Travancore-Cochin*,Congress,1,1952,Shri P.T. Chacko,Meenachil
Female,West Bengal,Communist Party,1,1952,Smt. Renu Chakravartty,Basirhat
Male,Travancore-Cochin*,Congress,1,1952,Shri C.P. Matthen,Thiruvellah
Male,Travancore-Cochin*,Revolutionary Socialist Party,1,1952,Shri N. Sreekantan Nair,Quilon cum Mavelikkara-SC
Male,Assam,Congress,1,1952,Shri Bimala Prosad Chaliha,Sibasagar-North Lakhimpur
Male,Vindhya Pradesh*,Congress,1,1952,Shri Moti Lal Malviya,Chhatarpur-Datia-Tikamgarh-SC
Male,Hyderabad,Peoples' Democratic Front,1,1952,Shri Pendyal Raghava Rao,Warangal
Male,West Bengal,Congress,1,1952,Shri Anil Kumar Chanda,Birbhum-SC
Male,Bihar,Congress,1,1952,Dr. Ram Subhag Singh,Shahabad South-SC
Male,Madhya Pradesh,Congress,1,1952,Shri BHikulal Lachhimichand Chandak,Betul
Female,Madras,Congress,1,1952,Smt. Maragatham Chandrasekhar,Tiruvallur
Male,Jammu and Kashmir,Nominated,1,1952,Shri Lakshman Singh Charak,NA
Male,Uttar Pradesh,Congress,1,1952,Shri Chand Singhal,Aligarh Distt.-SC
Male,West Bengal,Communist Party,1,1952,Shri Tushar Chatterjea,Serampore
Male,West Bengal,Hindu Mahasabha,1,1952,Shri N.C. Chatterjee,Hooghly
Male,Rajasthan,Independent,1,1952,General Ajit Singhji,Sirohi-Pali
Male,West Bengal,Congress,1,1952,Dr. Susil Ranjan Chatterjee,West Dinajpur
Male,Madras,Independent,1,1952,Shri Harindranath Chattopadhyaya,Vijaywada
Male,Bihar,Congress,1,1952,Shri Anirudha Sinha,Darbhanga-East
Male,Bihar,Congress,1,1952,Shri Awadheshwar Prasad Sinha,Muzaffarpur-East
Male,Uttar Pradesh,Congress,1,1952,Shri Birbal Singh,Jaunpur Dist (East)
Male,Uttar Pradesh,Congress,1,1952,Shri Rohanlal Chaturvedi,Etah Dist (Central)
Male,Bihar,Congress,1,1952,Shri Banarsi Prasad Sinha,Monghyr Sadar cum Jamui-SC
Male,Punjab,Congress,1,1952,Shri Ranbir Singh Chaudhari,Rohtak
Male,Uttar Pradesh,Congress,1,1952,Shri Ganeshi Lal Chaudhary,Shahjahanpur Distt. (North) cum Kheri (East)-SC
Male,Madras,Congress,1,1952,Shri N.M. Lingam,Coimbatore
Male,Assam,Congress,1,1952,Shri Rohini Kumar Chaudhuri,Gauhati
Male,West Bengal,Revolutionary Socialist Party,1,1952,Shri Tridib Chaudhuri,Berhampore
Male,Madras,Independent,1,1952,Shri Chapalamadugu Ramaiah Chowdhari,Narasaraopet
Male,Maharashtra,Congress,1,1952,Shri Akbarbhai Dalumiya Chavda,Banaskantha
Male,Madras,Congress,1,1952,Shri T.A.Ramalinga Chettiar,Coimbatore
Male,Madras,Congress,1,1952,Shri T.S. Avinashilingam Chettiar,Tiruppur
Male,Madras,Congress,1,1952,Shri V.VR.N.AR. Nagappa Chettiar,Ramanthapuram
Male,Punjab,Congress,1,1952,Shri Hira Singh Chinaria,Mohindergarh
Male,Jammu and Kashmir,Nominated,1,1952,Shri Muhammad Shaffee Choudhri,NA
Female,West Bengal,Congress,1,1952,Smt. Ila Pal Choudhuri,Nabadwip-SC
Male,West Bengal,Communist Party,1,1952,Shri Nikunja Bihari Chowdhury,Ghatal
Male,Maharashtra,Congress,1,1952,Shri Fulsinhji Bharatsinhji Dabhi,Kaira North
